"","Gene","Rep2","FPKM.cellexpress","LOG.FPKM.0.01.","Curve"
"642","FBgn0036397",-5.9621,9.165265,"0.962618616398318",1
"664","FBgn0031043",-5.9601,25.2297,"1.40208418856263",1
"240","FBgn0034967",-5.9516,1087.82,"3.03656103154736",1
"766","FBgn0005585",-5.9497,758.3785,"2.87989173885479",1
"811","FBgn0264959",-5.9438,24,"1.38039216005703",1
"809","FBgn0030787",-5.9318,10.7159,"1.0304337436199",1
"602","FBgn0035407",-5.9317,6.901395,"0.839565714473549",1
"646","FBgn0033210",-5.9227,38.8041,"1.58898952043463",1
"536","FBgn0036334",-5.9175,265.0945,"2.42341709970058",1
"351","FBgn0283521",-5.9008,281.258,"2.44912032507686",1
"710","FBgn0004379",-5.9002,22.92825,"1.36056028172854",1
"689","FBgn0030067",-5.8981,91.61035,"1.9619919464968",1
"1218","FBgn0027582",-5.8958,27.72805,"1.44307592667213",1
"636","FBgn0014455",-5.8893,140.627,"2.1480995936701",1
"550","FBgn0003268",-5.8859,17.41185,"1.241094270197",1
"786","FBgn0259676",-5.885,17.8072,"1.25083945502665",1
"713","FBgn0035194",-5.8847,24.7024,"1.39291492493028",1
"774","FBgn0031779",-5.8799,33.87525,"1.53001069414367",1
"1990","FBgn0013325",-5.8712,3492.88,"3.54318490881393",1
"1107","FBgn0027535",-5.8674,16.6478,"1.2216176434723",1
"950","FBgn0038244",-5.8632,38.42525,"1.58472971025939",1
"840","FBgn0250746",-5.8612,209.208,"2.32059904618178",1
"1518","FBgn0250838",-5.8488,205.9985,"2.3138851399174",1
"1709","FBgn0034087",-5.8475,37.2431,"1.5711624182085",1
"754","FBgn0004913",-5.8472,33.4654,"1.52472577513154",1
"1404","FBgn0037718",-5.8467,74.51175,"1.87228304491475",1
"619","FBgn0028375",-5.8308,12.0258,"1.08047496241649",1
"876","FBgn0053554",-5.8174,6.88699,"0.838659596302416",1
"452","FBgn0262739",-5.8129,42.5,"1.62849110496712",1
"903","FBgn0032705",-5.8123,14.80535,"1.17071191577376",1
"433","FBgn0022023",-5.8034,394.5805,"2.59614662514516",1
"1145","FBgn0038454",-5.7868,5.418795,"0.734703442309625",1
"661","FBgn0039965",-5.7855,22.8753,"1.35955660990252",1
"758","FBgn0017579",-5.7835,3337.565,"3.52343103368954",1
"1998","FBgn0263782",-5.7646,6.5,"0.813580988568192",1
"1413","FBgn0033085",-5.7582,14.22495,"1.15335594603427",1
"873","FBgn0005648",-5.7436,77.1726,"1.88751940427728",1
"966","FBgn0032031",-5.7348,18.7007,"1.27209003551982",1
"659","FBgn0032168",-5.7335,13.98135,"1.14585962080092",1
"362","FBgn0283451",-5.7305,10.5,"1.02160271602824",1
"787","FBgn0025815",-5.7099,56.4033,"1.75138150532496",1
"1024","FBgn0035444",-5.7058,32.02565,"1.50563354020705",1
"1020","FBgn0036574",-5.6943,10.89074,"1.03745598115236",1
"932","FBgn0028694",-5.6865,142.3175,"2.15328882098644",1
"513","FBgn0033467",-5.6829,3.980795,"0.601059419426364",1
"823","FBgn0260243",-5.6743,17.8753,"1.25249622920693",1
"773","FBgn0027358",-5.664,17.6751,"1.24760751986609",1
"1678","FBgn0034187",-5.6509,1.5288715,"0.187202356562556",1
"902","FBgn0027086",-5.6494,55.81185,"1.74680422540732",1
"1309","FBgn0031497",-5.6417,271.154,"2.43323203165839",1
"744","FBgn0011211",-5.6416,551.399,"2.74147385030519",1
"540","FBgn0004198",-5.6399,21.502,"1.33268078921525",1
"535","FBgn0036266",-5.6378,3.3719,"0.529160761721134",1
"522","FBgn0052576",-5.6358,20.90935,"1.32054818613219",1
"1706","FBgn0023542",-5.6294,45.19745,"1.65521001063611",1
"995","FBgn0000053",-5.6261,52.4395,"1.71974135242899",1
"1035","FBgn0032189",-5.6244,9.808845,"0.992060404321789",1
"1298","FBgn0038167",-5.6239,20.40185,"1.30988236818402",1
"538","FBgn0261552",-5.6183,26.5,"1.42340972773309",1
"704","FBgn0010355",-5.616,18.8567,"1.27569594377267",1
"717","FBgn0011361",-5.6157,194.0135,"2.28785433458091",1
"814","FBgn0029113",-5.6115,85.47205,"1.93187492871211",1
"757","FBgn0259726",-5.6094,27.91225,"1.44595041120087",1
"976","FBgn0030874",-5.6054,10.43564,"1.01893505417304",1
"1254","FBgn0035812",-5.6032,10.63787,"1.02726274019133",1
"383","FBgn0261383",-5.6016,12.00615,"1.07976534107868",1
"836","FBgn0026380",-5.6002,128.7406,"2.10974926160513",1
"929","FBgn0034245",-5.5981,116.2888,"2.06557523359288",1
"1164","FBgn0036396",-5.5944,5.15154,"0.712779297309075",1
"2888","FBgn0034500",-5.5914,20.2925,"1.30754951916221",1
"987","FBgn0262524",-5.5909,24.5,"1.38934331125208",1
"706","FBgn0035583",-5.5888,0.02337765,"-1.47654424368912",0
"1307","FBgn0266518",-5.5871,76.5,"1.88371820196396",1
"630","FBgn0028978",-5.5859,57.53385,"1.75999891521541",1
"890","FBgn0000520",-5.5653,24.68125,"1.39254307674282",1
"1100","FBgn0030556",-5.5616,49.9664,"1.6987649689484",1
"670","FBgn0250814",-5.561,234.0445,"2.36931699541595",1
"468","FBgn0051992",-5.5513,48.57585,"1.68650980502985",1
"519","FBgn0259722",-5.5469,9.927715,"0.9972865376196",1
"461","FBgn0040512",-5.5446,141.3535,"2.15033728927085",1
"700","FBgn0265630",-5.5395,11,"1.04178731897175",1
"896","FBgn0029800",-5.5189,20.07615,"1.30289670160698",1
"479","FBgn0267861",-5.5138,10.5,"1.02160271602824",1
"654","FBgn0037686",-5.5086,1765.65,"3.24690707843756",1
"534","FBgn0033029",-5.5061,37.4598,"1.5736813749959",1
"1004","FBgn0022224",-5.5044,22.8997,"1.36001940218819",1
"697","FBgn0086613",-5.4986,11.282415,"1.05278683023455",1
"1202","FBgn0036194",-5.4902,52.8227,"1.72290280574918",1
