Gene,Rep1,Rep2,avgatsglevel,FPKM cellexpress,LOG(FPKM+0.01),Curve
FBgn0051675,4.0738,-0.33888,1.8042,0.430157,-0.356392386986847,0
FBgn0035041,3.5115,0.14128,1.8044,0.02450305,-1.46214251247391,0
FBgn0037842,2.5335,0.97696,1.8048,8.29877,0.919536737171598,1
FBgn0033521,1.7152,1.7874,1.805,4.846915,0.686360503029556,1
FBgn0025115,2.9733,0.84723,1.8052,0.01973515,-1.52672986634554,0
FBgn0038706,2.1276,1.5036,1.8052,0,-2,0
FBgn0039576,3.0706,0.51179,1.8053,0.326045,-0.473602562065208,0
FBgn0035008,3.1817,0.78896,1.8053,0,-2,0
FBgn0053100,1.8233,2.076,1.8063,17.93145,1.25385753912899,1
FBgn0025642,2.9966,1.0385,1.8072,2.595359,0.41586757445963,1
FBgn0032749,3.9465,-0.11386,1.8088,0.1112347,-0.91637305787903,0
FBgn0038206,1.4259,2.6802,1.8089,38.87445,1.58977596046861,1
FBgn0052066,2.2879,1.4487,1.809,64.13305,1.80714960677229,1
FBgn0016976,4.3714,-1.0765,1.8092,0.25176075,-0.582095473661297,0
FBgn0032294,3.3158,0.20342,1.8092,0.0787194,-1.05198140393701,0
FBgn0011774,2.4183,1.7864,1.81,32.48145,1.51176909309158,1
FBgn0034629,1.5783,2.042,1.81,1.798305,0.257271683133594,1
FBgn0283476,1.9074,1.9756,1.8101,0,-2,0
FBgn0031735,2.7463,1.1608,1.8117,0.582229,-0.227510330091589,0
FBgn0021818,3.2005,0.71545,1.8118,17.31635,1.23870708309389,1
FBgn0002931,0.001971,3.277,1.8118,1.078,0.036628895362161,1
FBgn0085227,2.4402,1.2987,1.8125,0.2345711,-0.611594863129886,0
FBgn0030343,2.2533,1.3453,1.8133,22.01085,1.34283407863142,1
FBgn0034096,1.8374,1.9941,1.8157,0,-2,0
FBgn0034405,-0.69662,2.3375,1.8172,134.2395,2.12791267688448,1
FBgn0034046,0.7118,2.4273,1.8178,23.68785,1.37470894620033,1
FBgn0037986,2.2601,1.2004,1.8178,0.03149345,-1.38202045397142,0
FBgn0028581,0.76975,2.5149,1.818,2.12945,0.330302141262655,1
FBgn0032704,1.8838,1.8022,1.8195,162.928,2.21202238121303,1
FBgn0031961,1.6238,2.1921,1.8201,0.2162705,-0.645372063466134,0
FBgn0053700,3.6271,0.21692,1.8204,0.0350116,-1.34667554918503,0
FBgn0262167,3.314,0.14836,1.821,11.5,1.06107532362979,1
FBgn0010113,2.6647,1.191,1.8219,52.72965,1.72213724332672,1
FBgn0038073,1.8608,1.8319,1.8219,0,-2,0
FBgn0036278,2.4187,1.6417,1.8221,0.0197199,-1.52695265620087,0
FBgn0025697,3.3518,-1.0557,1.8239,0.98228,-0.003365762022712,0
FBgn0039296,0.52894,3.1641,1.8251,29.7568,1.47373214949255,1
FBgn0050497,1.1629,2.301,1.8262,71.62905,1.85514981806905,1
FBgn0032773,1.7036,2.2777,1.8262,28.48583345,1.4547813637995,1
FBgn0013755,-0.14155,3.3594,1.8268,0.0623861,-1.14034482154956,0
FBgn0063649,4.1079,-0.52591,1.8278,8.1268795,0.910457884525469,1
FBgn0037794,-1.5217,4.1415,1.8281,5.55901,0.745777997731907,1
FBgn0034012,-0.43379,3.9645,1.8281,0.775577,-0.104811240240591,0
FBgn0053124,1.0023,2.4939,1.8285,0.50322,-0.28969642766657,0
FBgn0053003,2.1352,1.8662,1.8286,0.0125309,-1.64722145997493,0
FBgn0034432,2.6078,0.91135,1.8293,63.3941,1.80211734226349,1
FBgn0052762,3.1906,0.77696,1.8296,0.1003793,-0.957112364457214,0
FBgn0085461,3.2047,0.398,1.8306,0,-2,0
FBgn0014851,3.6383,0.13046,1.832,0,-2,0
FBgn0004197,0.81811,2.566,1.8321,7.951905,0.901016991356353,1
FBgn0265778,0.73322,2.4459,1.8326,13,1.11427729656159,1
FBgn0263776,1.6795,2.1005,1.8346,0,-2,0
FBgn0039647,0.6961,2.7635,1.8348,0.1153271,-0.901955009549371,0
FBgn0031462,1.7561,2.235,1.8353,0.0165218,-1.57639700426654,0
FBgn0037843,0.17973,3.5794,1.8354,61.8732,1.7915727631141,1
FBgn0000158,3.9757,-0.37305,1.8379,0.3079375,-0.49765824502457,0
FBgn0035970,0.23936,3.1653,1.8382,0,-2,0
FBgn0000606,0.97682,2.4243,1.839,0.03120895,-1.3850084511152,0
FBgn0035440,0.8586,3.0615,1.8391,36.9308,1.56750629640534,1
FBgn0024941,1.1761,2.0373,1.8402,0.0588325,-1.16220645656151,0
FBgn0050263,2.5143,1.2468,1.8406,0.06778175,-1.10912228995182,0
FBgn0028407,1.2139,1.8325,1.8423,0.05727985,-1.17211498546587,0
FBgn0051345,2.7641,1.2065,1.8441,0,-2,0
FBgn0261834,1.9462,1.5491,1.8442,0,-2,0
FBgn0030529,2.6096,0.99964,1.8447,377.12,2.5764910811095,1
FBgn0261396,1.7609,2.0723,1.8466,98.6694,1.99422650018655,1
FBgn0262111,3.1676,0.65015,1.8467,0.5,-0.292429823902064,0
FBgn0039385,2.9486,0.61874,1.8477,28.54595,1.45569661285992,1
FBgn0023495,2.6952,1.5063,1.8478,0.0666165,-1.11567769136893,0
FBgn0259927,1.6184,2.0172,1.8479,0.031089,-1.38627442821408,0
FBgn0032753,1.6896,2.067,1.8481,0.0715855,-1.08838702052989,0
FBgn0038343,3.1593,-0.089014,1.8481,0.0578715,-1.16831255253943,0
FBgn0039596,2.1126,1.5108,1.8483,0.02791017,-1.42124426806904,0
FBgn0013764,-0.1098,3.2886,1.8484,48.2563,1.68364400793052,1
FBgn0263219,1.5403,1.3638,1.8484,0,-2,0
FBgn0015789,1.4658,2.8154,1.8493,56.79015,1.75434948261395,1
FBgn0030375,1.8056,2.1083,1.8498,0,-2,0
FBgn0050196,2.4275,1.083,1.85,1.8362545,0.266291566856383,1
FBgn0031808,3.4546,0.37727,1.85,0.097388,-0.96904424587065,0
FBgn0036288,1.6989,2.245,1.8524,5.579515,0.747374125961249,1
FBgn0259961,2.7453,1.1123,1.8525,0,-2,0
FBgn0026255,0.44911,2.9252,1.8528,0.06931125,-1.10066520528784,0
FBgn0020312,1.2862,1.6785,1.8536,35.07355,1.54510353188345,1
FBgn0030319,2.2715,1.4641,1.8549,0.803208,-0.089798357605611,0
FBgn0035317,2.6767,0.46179,1.8564,0.1018795,-0.951249483199028,0
FBgn0029594,1.7597,2.0556,1.8572,24.29535,1.38570187934902,1
FBgn0033792,2.6325,1.1599,1.8585,0.0414395,-1.28870326147373,0
FBgn0030840,0.13064,3.1408,1.8588,0,-2,0
FBgn0033257,-0.35595,3.7829,1.8596,0.27270595,-0.548665050990585,0
FBgn0033294,1.2898,2.5077,1.8603,0.077346,-1.0587569786914,0
FBgn0086610,0.92043,2.9431,1.8606,0,-2,0
FBgn0028833,2.275,1.6593,1.8611,71.04425,1.85159005969272,1
FBgn0027359,2.7194,0.85973,1.8625,57.0177,1.756085856287,1
